sushrg,elective,emergency
HC51D,101,453
HC51E,16,453
HC52A,133,258
HC52B,63,258
HC52C,39,258
HC52D,34,258
HC53A,73,258
HC53B,36,258
HC53C,24,258
HC54A,71,258
HC54B,37,258
HC54C,29,258
HC60A,77,258
HC60B,44,258
HC60C,22,258
HC61A,82,258
HC61B,42,258
HC61C,22,258
HC62A,73,258
HC62B,34,258
HC62C,17,258
HC63A,68,258
HC63B,27,258
HC63C,12,258
HC64A,53,258
HC64B,21,258
HC64C,10,258
HC65Z,5,258
HC70A,61,258
HC70B,23,258
HC71Z,31,258
HC72A,5,258
HC72B,5,453
HC72C,5,453
HD21D,41,259
HD21E,13,259
HD21F,5,259
HD21G,5,259
HD21H,5,259
HD23D,50,259
HD23E,25,259
HD23F,19,259
HD23G,15,259
HD23H,8,259
HD23J,5,259
HD24D,65,259
HD24E,38,259
HD24F,24,259
HD24G,13,259
HD24H,5,259
HD25D,84,259
HD25E,49,259
HD25F,34,259
HD25G,25,259
HD25H,17,259
HD26D,43,259
HD26E,21,259
HD26F,8,259
HD26G,5,259
HD39D,60,259
HD39E,40,259
HD39F,35,259
HD39G,27,259
HD39H,14,259
HD40D,56,259
HD40E,37,259
HD40F,25,259
HD40G,14,259
HD40H,8,259
HE11A,97,258
HE11B,59,258
HE11C,70,258
HE11D,53,258
HE11E,86,258
HE11F,64,258
HE11G,48,258
HE11H,30,258
HE12A,39,258
HE12B,7,258
HE12C,36,258
HE12D,13,258
HE12E,5,258
HE21A,74,258
HE21B,69,258
HE21C,36,258
HE21D,15,258
HE21E,67,258
HE21F,37,258
HE21G,13,258
HE22A,61,258
HE22B,38,258
HE22C,10,258
HE22D,45,258
HE22E,26,258
HE22F,9,258
HE22G,45,258
HE22H,24,258
HE22J,10,258
HE22K,5,258
HE31A,36,258
HE31B,43,258
HE31C,9,258
HE31D,56,258
HE31E,40,258
HE31F,19,258
HE31G,5,258
HE32A,26,258
HE32B,6,258
HE32C,15,258
HE32D,5,258
HE32E,5,258
HE41A,6,258
HE41B,23,258
HE41C,5,258
HE41D,5,258
HE42A,10,258
HE42B,6,258
HE42C,8,258
HE42D,5,258
HE42E,5,258
HE51A,64,258
HE51B,35,258
HE51C,11,258
HE51D,63,258
HE51E,48,258
HE51F,31,258
HE51G,18,258
HE51H,5,258
HE52A,30,258
HE52B,6,258
HE52C,26,258
HE52D,13,258
HE52E,5,258
HE52F,5,258
HE71A,40,258
HE71B,33,258
HE71C,19,258
HE71D,8,258
HE72A,15,258
HE72B,26,258
HE72C,13,258
HE72D,5,258
HE72E,5,258
HE81A,73,258
HE81B,42,258
HE81C,19,258
HE82A,68,258
HE82B,32,258
HE82C,16,258
HE82D,8,258
HE83A,43,258
HE83B,22,258
HE83C,8,258
HN12A,125,258
HN12B,84,258
HN12C,71,258
HN12D,53,258
HN12E,41,258
HN12F,31,258
HN13A,107,258
HN13B,77,258
HN13C,54,258
HN13D,40,258
HN13E,34,258
HN13F,22,258
HN13G,31,453
HN13H,16,453
HN14A,82,258
HN14B,30,258
HN14C,14,258
HN14D,9,258
HN14E,6,258
HN14F,32,453
HN14G,20,453
HN14H,22,453
HN15A,5,258
HN15B,5,453
HN16A,5,258
HN16B,5,453
HN16C,5,453
HN22A,107,258
HN22B,87,258
HN22C,58,258
HN22D,51,258
HN22E,29,258
HN23A,69,258
HN23B,41,258
HN23C,32,258
HN23D,57,453
HN23E,11,453
HN24A,74,258
HN24B,42,258
HN24C,14,258
HN24D,23,453
HN24E,5,453
HN24F,21,453
HN25A,5,258
HN25B,5,453
HN26A,5,258
HN26B,5,453
HN26C,5,453
HN32A,105,258
HN32B,46,258
HN32C,26,258
HN33A,75,258
HN33B,36,258
HN33C,25,258
HN33D,16,453
HN34A,66,258
HN34B,32,258
HN34C,18,258
HN34D,15,453
HN35A,5,258
HN35B,5,453
HN36Z,5,258
HN42A,36,258
HN42B,11,258
HN43A,26,258
HN43B,10,258
HN43C,5,453
HN44A,27,258
HN44B,8,258
HN44C,5,453
HN44D,5,453
HN45A,5,258
HN45B,5,453
HN45C,5,453
HN46Z,5,258
HN52A,86,258
HN52B,56,258
HN52C,14,258
HN53A,53,258
HN53B,39,258
HN53C,8,258
HN54A,70,258
HN54B,24,258
HN54C,5,258
HN54D,8,453
HN55Z,5,258
HN56Z,5,258
HN62A,56,258
HN62B,7,258
HN63A,44,258
HN63B,6,258
HN64A,50,258
HN64B,9,258
HN64C,5,453
HN64D,5,453
HN65Z,5,258
HN66Z,5,258
HN80A,167,258
HN80B,106,258
HN80C,63,258
HN80D,42,258
HN81A,106,258
HN81B,73,258
HN81C,53,258
HN81D,43,258
HN81E,31,258
HN85Z,44,258
HN86A,52,258
HN86B,12,258
HN93Z,27,258
HT12A,93,258
HT12B,63,258
HT12C,46,258
HT12D,34,258
HT12E,24,258
HT13A,92,258
HT13B,66,258
HT13C,49,258
HT13D,36,258
HT13E,25,258
HT14A,49,258
