type,procedure_code
usually_dc,H513
usually_dc,H518
usually_dc,H523
usually_dc,H524
usually_dc,H528
usually_dc,H538
usually_dc,H541
usually_dc,H548
usually_dc,H549
usually_dc,H551
usually_dc,H552
usually_dc,H553
usually_dc,H554
usually_dc,H557
usually_dc,H558
usually_dc,H561
usually_dc,H562
usually_dc,H564
usually_dc,H568
usually_dc,H582
usually_dc,H592
usually_dc,H594
usually_dc,H598
usually_dc,H599
usually_dc,H601
usually_dc,H602
usually_dc,H603
usually_dc,H608
usually_dc,H668
usually_dc,H683
usually_dc,H691
usually_dc,H693
usually_dc,H694
usually_dc,J131
usually_dc,J132
usually_dc,J171
usually_dc,J179
usually_dc,J183
usually_dc,J381
usually_dc,J382
usually_dc,J388
usually_dc,J389
usually_dc,J398
usually_dc,J402
usually_dc,J403
usually_dc,J404
usually_dc,J405
usually_dc,J406
usually_dc,J411
usually_dc,J412
usually_dc,J413
usually_dc,J421
usually_dc,J428
usually_dc,J531
usually_dc,J539
usually_dc,J673
usually_dc,J723
usually_dc,J741
usually_dc,J748
usually_dc,J749
usually_dc,K491
usually_dc,K492
usually_dc,K518
usually_dc,K571
usually_dc,K572
usually_dc,K574
usually_dc,K582
usually_dc,K583
usually_dc,K591
usually_dc,K592
usually_dc,K597
usually_dc,K602
usually_dc,K603
usually_dc,K605
usually_dc,K606
usually_dc,K608
usually_dc,K616
usually_dc,K622
usually_dc,K623
usually_dc,K624
usually_dc,K631
usually_dc,K632
usually_dc,K633
usually_dc,K634
usually_dc,K635
usually_dc,K636
usually_dc,K638
usually_dc,K639
usually_dc,K731
usually_dc,K732
usually_dc,K733
usually_dc,K742
usually_dc,K751
usually_dc,K752
usually_dc,L264
usually_dc,L352
usually_dc,L541
usually_dc,L631
usually_dc,L634
usually_dc,L671
usually_dc,L703
usually_dc,L742
usually_dc,L743
usually_dc,L747
usually_dc,L755
usually_dc,L758
usually_dc,L791
usually_dc,L795
usually_dc,L841
usually_dc,L842
usually_dc,L843
usually_dc,L844
usually_dc,L848
usually_dc,L861
usually_dc,L862
usually_dc,L874
usually_dc,L881
usually_dc,L882
usually_dc,L883
usually_dc,L911
usually_dc,L914
usually_dc,L915
usually_dc,L923
usually_dc,L941
usually_dc,L942
usually_dc,L943
usually_dc,L947
usually_dc,L948
usually_dc,L975
usually_dc,L997
usually_dc,M113
usually_dc,M131
usually_dc,M133
usually_dc,M141
usually_dc,M151
usually_dc,M162
usually_dc,M272
usually_dc,M273
usually_dc,M283
usually_dc,M293
usually_dc,M295
usually_dc,M311
usually_dc,M323
usually_dc,M334
usually_dc,M338
usually_dc,M422
usually_dc,M432
usually_dc,M433
usually_dc,M434
usually_dc,M448
usually_dc,M451
usually_dc,M453
usually_dc,M455
usually_dc,M482
usually_dc,M563
usually_dc,M582
usually_dc,M663
usually_dc,M676
usually_dc,M678
usually_dc,M683
usually_dc,M702
usually_dc,M707
usually_dc,M731
usually_dc,M733
usually_dc,M763
usually_dc,M764
usually_dc,M768
usually_dc,M771
usually_dc,M779
usually_dc,M792
usually_dc,M793
usually_dc,M811
usually_dc,M812
usually_dc,M813
usually_dc,M814
usually_dc,M818
usually_dc,N012
usually_dc,N034
usually_dc,N038
usually_dc,N063
usually_dc,N066
usually_dc,N071
usually_dc,N082
usually_dc,N092
usually_dc,N093
usually_dc,N094
usually_dc,N099
usually_dc,N101
usually_dc,N111
usually_dc,N112
usually_dc,N113
usually_dc,N114
usually_dc,N115
usually_dc,N118
usually_dc,N132
usually_dc,N152
usually_dc,N153
usually_dc,N171
usually_dc,N191
usually_dc,N192
usually_dc,N201
usually_dc,N271
usually_dc,N284
usually_dc,N285
usually_dc,N288
usually_dc,N301
usually_dc,N302
usually_dc,N303
usually_dc,N304
usually_dc,N308
usually_dc,N321
usually_dc,N344
usually_dc,N345
usually_dc,N346
usually_dc,O172
usually_dc,O192
usually_dc,O272
usually_dc,O273
usually_dc,O274
usually_dc,O291
usually_dc,P031
usually_dc,P032
usually_dc,P033
usually_dc,P054
usually_dc,P055
usually_dc,P056
usually_dc,P061
usually_dc,P065
usually_dc,P094
usually_dc,P111
usually_dc,P132
usually_dc,P138
usually_dc,P151
usually_dc,P152
usually_dc,P154
usually_dc,P192
usually_dc,P201
usually_dc,P205
usually_dc,P291
usually_dc,P318
usually_dc,Q031
usually_dc,Q032
usually_dc,Q052
usually_dc,Q101
usually_dc,Q102
usually_dc,Q103
usually_dc,Q111
usually_dc,Q112
usually_dc,Q113
usually_dc,Q115
usually_dc,Q116
usually_dc,Q131
usually_dc,Q134
usually_dc,Q145
usually_dc,Q161
usually_dc,Q162
usually_dc,Q163
usually_dc,Q165
usually_dc,Q171
usually_dc,Q172
usually_dc,Q174
usually_dc,Q176
usually_dc,Q177
usually_dc,Q188
usually_dc,Q201
usually_dc,Q222
usually_dc,Q251
usually_dc,Q272
usually_dc,Q328
usually_dc,Q352
usually_dc,Q381
usually_dc,Q413
usually_dc,Q484
usually_dc,Q491
usually_dc,Q492
usually_dc,Q493
usually_dc,Q494
usually_dc,Q498
usually_dc,Q501
